彩种,类型,排名,组合,自身遗漏,自身r,自身z,关联数,关联均值z,邻冷比例,强匹配,经验概率,综合得分,上次开出
福彩3D,两码组六,1,01,87,4.2,3.4,2,0.94,0.5,1,4.816,3.96,2026168
福彩3D,两码组六,2,37,70,3.451,2.72,2,-0.21,0.5,0,4.918,2.59,2026185
福彩3D,两码组六,3,13,54,2.755,1.8,2,1.11,0.5,1,5.09,2.47,2026201
福彩3D,两码组六,4,14,48,2.339,1.4,2,1.1,0.5,1,4.861,2.06,2026207
福彩3D,两码组六,5,57,60,2.917,2.13,2,-0.37,0.5,0,4.85,1.91,2026195
福彩3D,两码组六,6,17,40,1.903,0.88,2,1.43,1.0,1,4.747,1.74,2026215
福彩3D,两码组六,7,16,43,2.081,1.02,2,0.78,0.5,1,4.827,1.48,2026212
福彩3D,两码组六,8,25,60,2.568,1.54,2,-0.55,0.0,0,4.268,1.21,2026195
福彩3D,两码组六,9,24,49,2.259,1.34,2,-0.4,0.0,0,4.599,1.1,2026206
福彩3D,两码组六,10,15,29,1.43,0.48,2,0.94,0.5,1,4.918,1.04,2026226
福彩3D,两码组六,11,27,40,1.853,0.93,2,-0.07,0.5,0,4.622,0.89,2026215
福彩3D,两码组六,12,36,47,2.156,1.21,2,-0.87,0.0,0,4.576,0.69,2026208
福彩3D,两码组六,13,35,39,1.86,0.9,2,-0.7,0.0,0,4.759,0.48,2026216
福彩3D,两码组六,14,39,39,1.891,0.98,2,-0.85,0.0,0,4.839,0.47,2026216
福彩3D,两码组六,15,23,37,1.689,0.65,2,-0.39,0.0,0,4.553,0.42,2026218
福彩3D,两码组六,16,12,12,0.553,-0.46,2,1.25,0.5,1,4.599,0.29,2026243
福彩3D,两码组六,17,18,15,0.721,-0.3,2,0.95,0.5,1,4.793,0.27,2026240
福彩3D,两码组六,18,38,33,1.563,0.56,2,-0.69,0.0,0,4.724,0.15,2026222
福彩3D,两码组六,19,19,12,0.605,-0.43,2,0.79,0.5,1,5.033,0.05,2026243
福彩3D,两码组六,20,26,31,1.419,0.4,2,-0.72,0.0,0,4.565,-0.03,2026224
